"","hard","image","age","sex","income_ord","education_ord","nonresponse_choice_count","ResponseId"
"3",1,1,23,"Masculino",0,2,0,"R_3Jf6oz8UNuIuDA7"
"4",0,1,29,"Feminino",0,3,0,"R_2y3K5Yo7LCW7Wbo"
"5",0,1,38,"Masculino",0,2,0,"R_3EhDY2fFbhzgq3R"
"6",0,1,34,"Feminino",0,2,0,"R_3O8Eem7s3NjM5vf"
"7",1,1,23,"Masculino",0,2,0,"R_1OVTxLT52acppWM"
"8",1,1,21,"Masculino",0,2,0,"R_2V3IdizH02naEst"
"9",0,1,41,"Feminino",0,3,0,"R_3lFyPRfgIIE3cZf"
"10",0,1,21,"Feminino",0,2,0,"R_2Ptmfcpg2XP2NQE"
"11",0,1,62,"Masculino",1,2,0,"R_1rMltfJPbNbQI8l"
"12",1,1,25,"Masculino",0,1,0,"R_z83HrKMwOjPgeqJ"
"13",1,1,63,"Masculino",2,3,0,"R_2rjbtJmi5knKdPQ"
"14",1,1,26,"Feminino",0,1,0,"R_xruCpiMeOwn4D4t"
"15",0,1,23,"Masculino",0,3,0,"R_818pM9AqqgGRqDL"
"16",0,1,28,"Masculino",0,2,0,"R_2rZQ8zXhCpj3rnN"
"17",0,1,35,"Feminino",0,2,1,"R_3Etz9bee0Hsi1cN"
"18",0,1,20,"Masculino",0,2,0,"R_3qVdneoQC9d6tPv"
"19",1,1,36,"Masculino",1,2,0,"R_4MYtaD9izRjByfL"
"20",0,1,32,"Feminino",0,3,0,"R_3WuEXix07N1dagN"
"21",0,1,33,"Feminino",0,2,0,"R_2VF4SbbJzBFuGmZ"
"22",1,1,26,"Feminino",0,2,0,"R_3G9VLNWge0c02T9"
"23",0,1,61,"Masculino",1,1,0,"R_XzyimDICO4RvEat"
"24",1,1,46,"Masculino",1,4,0,"R_3fDAc5rnVccP1V6"
"25",0,1,65,"Masculino",0,3,0,"R_3mf1onZo1z8xRgz"
"26",0,1,52,"Masculino",1,3,0,"R_1FQFo8qPDtIVkl8"
"27",1,0,36,"Masculino",0,1,0,"R_3EzrFqHCee9bqxQ"
"29",1,1,41,"Feminino",0,2,0,"R_sXtpgs0WUDxXLXz"
"30",0,0,18,"Masculino",0,2,0,"R_eX2bGxBzjIEZOGR"
"31",0,1,59,"Masculino",4,2,1,"R_1ouLd7WlavDRUcR"
"32",0,1,25,"Feminino",0,2,0,"R_1eK59mwmq4SezDf"
"34",0,1,54,"Feminino",0,2,0,"R_rjrgJmfhO3H1atb"
"35",1,0,29,"Masculino",0,2,0,"R_1NgJkuqKczWJAlJ"
"36",1,1,77,"Masculino",2,3,0,"R_6LK8Q8uj9Ow6xnr"
"37",1,1,56,"Feminino",2,3,0,"R_22ypZTxC5q6tXGY"
"38",0,1,49,"Feminino",3,3,0,"R_VJzrKo1Xz9jErRL"
"39",0,1,39,"Feminino",1,3,1,"R_3Rfk2p5662W73tX"
"40",0,1,22,"Masculino",0,1,0,"R_3ErKeCWmWjOf2kb"
"41",NA,1,56,"Masculino",0,2,2,"R_UuzWH98AvLoWRFL"
"42",1,0,62,"Masculino",1,2,0,"R_1Isoq3WgM5vW46Y"
"43",NA,1,63,"Masculino",2,3,0,"R_1hFsWpHurPSZy3t"
"44",NA,1,63,"Masculino",0,1,1,"R_2f7r5TolUcYHNyX"
"45",1,0,34,"Feminino",0,2,0,"R_2tMfXlpsCZd4u6D"
"46",0,1,30,"Masculino",1,2,3,"R_3KwIJgcUZoKs6hR"
"47",1,1,57,"Masculino",2,2,0,"R_e5R8cclUgM6UsuJ"
"48",0,1,39,"Feminino",2,3,0,"R_1DSc2uI0M4PWY9o"
"49",0,0,22,"Feminino",0,2,0,"R_sp9iYk3LOcLMyJz"
"50",1,1,35,"Masculino",1,1,0,"R_2AQMXwVtSmTOfrE"
"51",0,1,27,"Feminino",1,3,0,"R_32XG57OvN6A5Q8d"
"52",0,1,29,"Feminino",0,2,0,"R_242kfUcFlOlya2u"
"53",0,1,39,"Feminino",2,3,0,"R_6tZw545iAypJppD"
"54",1,1,65,"Masculino",2,2,0,"R_3p8WBz9lmRHD4Gj"
"56",1,0,36,"Feminino",2,3,0,"R_2CQbnvqUoHMfNht"
"57",1,0,43,"Feminino",1,3,0,"R_1i2wpWwlwglGuD7"
"58",1,1,43,"Feminino",0,2,0,"R_ebNrwDqRfLcSyY1"
"59",0,1,57,"Masculino",1,2,0,"R_1giI1WUaBHPCE9C"
"60",0,0,34,"Feminino",1,2,0,"R_2qrwp55U5R7AVY5"
"61",0,0,48,"Masculino",2,3,0,"R_sBj4TqQndnB2HYJ"
"62",0,1,56,"Masculino",1,2,0,"R_1LG2XIXui84QdbF"
"63",0,1,25,"Masculino",0,2,0,"R_28CgLyFjokUbpfG"
"64",1,1,57,"Feminino",0,2,0,"R_1kNdCBhJdeiCELk"
"65",1,1,43,"Feminino",0,2,0,"R_2E0Na55pjCGvPLz"
"66",0,1,65,"Masculino",4,2,0,"R_129CStdvvkwNNJr"
"67",0,0,46,"Feminino",2,3,0,"R_vMRqYfBQi1EOFTX"
"68",1,1,26,"Masculino",0,2,0,"R_11YNalK1BjoSNxk"
"69",0,1,30,"Masculino",1,2,0,"R_2QPw3Dmf1SKmkvR"
"70",0,0,65,"Feminino",0,2,0,"R_1jI0M25BMLSv2rh"
"71",1,1,31,"Feminino",0,2,0,"R_33md1QAyKa18LpQ"
"72",1,1,24,"Masculino",1,2,0,"R_3hFNlst7VyBYxn8"
"73",0,1,23,"Masculino",0,3,0,"R_2q4Msx28o7D0D3M"
"74",0,1,46,"Feminino",0,2,0,"R_0SBO6jeXDWYPQPL"
"75",1,0,29,"Feminino",0,2,3,"R_8nQegaITCpn1nk5"
"76",0,1,38,"Masculino",1,3,0,"R_2f296XK5tYg5Fm6"
"77",0,1,49,"Feminino",1,2,2,"R_2SuAFsHPE8rNzDC"
"78",1,1,39,"Feminino",1,2,0,"R_37Va9cEKRGsrDB7"
"79",0,1,32,"Masculino",0,2,0,"R_3iOO9NlHntPs2uB"
"80",0,1,47,"Feminino",1,2,1,"R_2Cmug0yJeKxydHn"
"81",0,1,27,"Masculino",0,3,0,"R_1fllSNOvt0xm4in"
"82",1,0,43,"Masculino",2,3,0,"R_2Vq3lM8YrrtooFe"
"83",0,1,39,"Feminino",2,3,0,"R_12hemUeE32UQJqW"
"84",0,1,46,"Masculino",0,2,0,"R_2fjO3gLAgu2zdgK"
"85",1,1,71,"Masculino",2,2,0,"R_1F8Ln0nn0s8hWWX"
"86",1,1,30,"Feminino",2,3,0,"R_1F9WA1qvFUn4OwI"
"87",1,1,47,"Masculino",2,2,0,"R_1LnEW7RnGYeUM4G"
"88",0,1,38,"Feminino",1,2,0,"R_2Wx4Dl4QmmMLv8o"
"89",0,1,43,"Feminino",1,1,0,"R_Y03ycEqEdclYUmt"
